date,number_bikes
11/24/2017,815
11/25/2017,786
11/26/2017,272
11/27/2017,2156
11/28/2017,2488
11/29/2017,2510
11/30/2017,2407
12/1/2017,2225
12/2/2017,931
12/3/2017,970
12/4/2017,2375
12/5/2017,2250
12/6/2017,2339
12/7/2017,2273
12/8/2017,2019
12/9/2017,927
12/10/2017,819
12/11/2017,2379
12/12/2017,2373
12/13/2017,2273
12/14/2017,2126
12/15/2017,1958
12/16/2017,1033
12/17/2017,748
12/18/2017,2153
12/19/2017,2022
12/20/2017,1909
12/21/2017,1594
12/22/2017,1203
12/23/2017,560
12/24/2017,409
12/25/2017,296
12/26/2017,794
12/27/2017,983
12/28/2017,1092
12/29/2017,1053
12/30/2017,671
